School,StadiumSize
Air Force,52237
Akron,30000
Alabama,101821
Alabama at Birmingham,71594
Appalachian State,24150
Arizona,56037
Arizona State,56232
Arkansas,72000
Arkansas State,30964
Army,38000
Auburn,87451
Ball State,22500
Boise State,37000
Boston College,44500
Bowling Green,23724
Buffalo,29013
California,62717
Central Florida,45323
Central Michigan,30255
Charlotte,74867
Cincinnati,40000
Clemson,81500
Coastal Carolina,15000
Colorado,53750
Colorado State,41200
Connecticut,40000
Duke,40004
East Carolina,50000
Eastern Michigan,30200
Florida,88548
Florida Atlantic,30000
Florida International,23500
Florida State,82300
Fresno State,41031
Georgia,92746
Georgia Southern,24300
Georgia State,23000
Georgia Tech,55000
Hawaii,50000
Houston,40000
Illinois,60670
Indiana,52959
Iowa,70585
Iowa State,61000
Kansas,50071
Kansas State,50000
Kent State,25319
Kentucky,61000
Liberty,58325
Louisiana Tech,30600
Louisiana-Lafayette,31000
Louisiana-Monroe,30427
Louisville,55000
LSU,100500
Marshall,38019
Maryland,54000
Massachusetts,44500
Memphis,62380
Miami (Fla.),74476
Miami (Ohio),24286
Michigan,107601
Michigan State,75005
Middle Tennessee,31000
Minnesota,50805
Mississippi,58580
Mississippi State,64038
Missouri,71004
Navy,34000
Nebraska,92000
Nevada,29993
Nevada-Las Vegas,65000
New Mexico,39224
New Mexico State,30343
North Carolina,62980
North Carolina State,58000
North Texas,30850
Northern Illinois,24000
Northwestern,47130
Notre Dame,77622
Ohio,24000
Ohio State,104944
Oklahoma,84000
Oklahoma State,60218
Old Dominion,20118
Oregon,54000
Oregon State,45674
Penn State,106572
Pittsburgh,65500
Purdue,62500
Rutgers,52454
San Diego State,70561
San Jose State,30456
South Alabama,40646
South Carolina,80250
South Florida,65857
Southern California,77500
Southern Mississippi,36000
Stanford,50000
Syracuse,49250
Tennessee,102521
Texas,100119
Texas A&M,102733
Texas Christian,47000
Texas State,30000
Texas Tech,60862
Texas-El Paso,51500
Texas-San Antonio,64000
Toledo,26248
Troy,30000
Tulane,30000
Tulsa,35542
UCLA,89702
Utah,45017
Utah State,25513
Vanderbilt,40550
Virginia,61500
Virginia Tech,66233
Wake Forest,31500
Washington,70138
Washington State,35117
West Virginia,60000
Western Kentucky,22113
Western Michigan,30200
Wisconsin,80321
Wyoming,29181
